state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
ohio,white,145759.7397553114,5580.364373228907,4.487444605592271,0.6712301432237828,34.7,0.094,0.01,0.0095,0.004
oklahoma,white,44073.84541919867,1737.5372396153375,1.5967475445049761,0.6832444024849943,38.5,0.094,0.01,0.0095,0.004
oregon,white,45555.32569932822,1974.8845752461532,-2.307054093695364,0.8829536735269498,66,0.094,0.01,0.0095,0.004
pennsylvania,white,148095.08493234636,4426.792333578646,3.0428047621702374,1.4190406756386476,21,0.094,0.01,0.0095,0.004
rhode island,white,15821.214973995506,669.0273444931938,9.441467473122215,3.131711620208615,11,0.094,0.01,0.0095,0.004
tennessee,white,64850.11525809719,5768.191354819414,4.68384975022509,2.4304900946000103,34,0.094,0.01,0.0095,0.004
texas,white,186071.80020294612,8719.429021726863,8.28196927028711,0.43850714056189105,39.774193548387096,0.094,0.01,0.0095,0.004
utah,white,43709.00095745529,1205.9950251745322,1.7515251966871814,0.46796759517952496,28.363636363636363,0.094,0.01,0.0095,0.004
vermont,white,10302.457833703382,337.62876473099703,1.554207848288739,1.6832133021522477,23.5,0.094,0.01,0.0095,0.004
washington,white,61284.56059518008,2363.57279829421,-1.4450958974156776,0.9305305755491331,40.8,0.094,0.01,0.0095,0.004
wisconsin,white,69837.3516646033,3489.786790659414,3.243078926509611,0.5635039627903868,35.5,0.094,0.01,0.0095,0.004
west virginia,white,28219.23198949108,1050.9767710865983,NA,NA,NA,0.094,0.01,0.0095,0.004
arizona,white,60993.775833373285,4383.924857943987,NA,NA,NA,0.094,0.01,0.0095,0.004
wyoming,white,6858.581399434032,416.954840427405,-1.2179716558722333,1.3851694294986299,21,0.094,0.01,0.0095,0.004
iowa,white,33006.77834559052,1726.877330625055,3.283443042393354,0.4158930464722037,44.07142857142857,0.094,0.01,0.0095,0.004
massachusetts,white,80985.86522082964,5471.7352202760385,7.4387867604117215,1.0339974576719628,26.375,0.094,0.01,0.0095,0.004
north dakota,white,6752.538916503059,545.9689421819662,-0.718660945854715,0.7665008905414159,38,0.094,0.01,0.0095,0.004
delaware,white,15750,2048.979591836735,NA,NA,NA,0.094,0.01,0.0095,0.004
idaho,white,17680.04590205837,1137.9930834042423,2.8246969056976874,1.3134345461504757,18.5,0.094,0.01,0.0095,0.004
virginia,white,99251.66567753785,6244.037223687332,8.115727586591744,0.9121610391909646,19.571428571428573,0.094,0.01,0.0095,0.004
minnesota,white,65393.4704933564,6452.274057956438,-0.7041228825706584,0.4785995141040938,45.8,0.094,0.01,0.0095,0.004
south dakota,white,8490,1121.4285714285716,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.094,0.01,0.0095,0.004
alabama,black,59219.838319105096,4401.8924989731195,6.168036540793379,0.855377499605896,32.42857142857143,0.152,0.021,0.0095,0.004
california,black,54488.706790507655,6712.681739032892,2.494174546876336,0.4425310416487048,24.78787878787879,0.152,0.021,0.0095,0.004
connecticut,black,7665.3416253458245,761.076536707142,7.530114222888063,1.5850624242069442,18.4,0.152,0.021,0.0095,0.004
maryland,black,11638.262545846637,636.5098970531378,4.3197604984360645,1.8288996169773302,17.666666666666668,0.152,0.021,0.0095,0.004
georgia,black,105115.4616302145,6019.523888086164,8.394070379725413,0.643853992356035,34.36363636363637,0.152,0.021,0.0095,0.004
illinois,black,67828.18105165228,7213.555670282515,3.077782143682389,0.6335156637882573,42.111111111111114,0.152,0.021,0.0095,0.004
indiana,black,17444.19065158153,1642.0170239830413,6.402586608509475,1.4603050061487217,17.8,0.152,0.021,0.0095,0.004
kansas,black,5598.911333514593,464.8414517609115,-0.9269572611440776,1.2420225405971406,46,0.152,0.021,0.0095,0.004
